name,source,target,length,free_flow_speed,jam_density,merge_priority
E386,427593166,10063081076,24.833,4.0,0.16,1
E387,427593166,461754633,54.457,4.0,0.16,1
E388,427593166,9362874580,86.729,4.0,0.16,1
E389,427593168,427593170,107.195,7.0,0.16,1
E390,427593168,427593318,49.741,4.0,0.16,1
E391,427593168,461754818,26.317,4.0,0.16,1
E392,427593170,427593168,107.195,7.0,0.16,1
E393,427593170,461754622,101.044,7.0,0.16,1
E394,427593170,652440573,36.482,7.0,0.16,1
E395,427593173,11393834515,47.741,7.0,0.16,1
E396,427593173,2631196063,53.271,7.0,0.16,1
E397,427593173,4415661209,90.05,7.0,0.16,1
E398,427593174,427593220,28.171,4.0,0.16,1
E399,427593174,427593221,9.411,4.0,0.16,1
E400,427593174,427593227,46.672,7.0,0.16,1
E401,427593176,461539236,48.395,7.0,0.16,1
E402,427593176,10063093180,29.282,4.0,0.16,1
E403,427593176,461539246,26.941,4.0,0.16,1
E404,427593178,461539237,48.993,7.0,0.16,1
E405,427593178,461539221,59.787,4.0,0.16,1
E406,427593178,10063104557,84.42699999999999,7.0,0.16,1
E407,427593179,10063800291,30.141,7.0,0.16,1
E408,427593179,427593316,28.649,7.0,0.16,1
E409,427593179,652440641,24.229,7.0,0.16,1
E410,427593180,11393475298,53.283,7.0,0.16,1
E411,427593180,442966312,55.491,7.0,0.16,1
E412,427593180,427593099,103.18100000000001,7.0,0.16,1
E413,427593183,580248015,81.29,7.0,0.16,1
E414,427593183,10079417468,39.665,7.0,0.16,1
E415,427593183,442966201,54.87400000000001,7.0,0.16,1
E416,427593183,427593309,94.20400000000001,7.0,0.16,1
E417,427593204,427593381,71.782,7.0,0.16,1
E418,427593204,427593210,43.696,7.0,0.16,1
E419,427593204,426962399,54.543,7.0,0.16,1
E420,427593204,10063059353,54.717,7.0,0.16,1
E421,427593205,427593206,103.935,7.0,0.16,1
E422,427593205,427593355,92.24,7.0,0.16,1
E423,427593205,427593354,34.167,4.0,0.16,1
E424,427593205,427593382,34.803,4.0,0.16,1
E425,427593206,427593209,32.383,7.0,0.16,1
E426,427593206,427593205,103.935,7.0,0.16,1
E427,427593206,427593207,37.144000000000005,7.0,0.16,1
E428,427593207,427593354,106.313,7.0,0.16,1
E429,427593207,4415661208,33.434,7.0,0.16,1
E430,427593207,427593206,37.144000000000005,7.0,0.16,1
E431,427593208,427593354,92.215,7.0,0.16,1
E432,427593208,10063063251,12.429,7.0,0.16,1
E433,427593208,427593251,36.255,7.0,0.16,1
E434,427593208,10063063250,43.586,7.0,0.16,1
E435,427593209,427593206,32.383,7.0,0.16,1
E436,427593209,427593235,30.519,7.0,0.16,1
E437,427593209,427593229,26.725,7.0,0.16,1
E438,427593210,427593214,72.375,7.0,0.16,1
E439,427593210,427593204,43.696,7.0,0.16,1
E440,427593210,427593371,35.639,7.0,0.16,1
E441,427593211,456033209,51.96,7.0,0.16,1
E442,427593211,427593392,151.775,7.0,0.16,1
E443,427593211,456033217,29.091,4.0,0.16,1
E444,427593211,427531050,24.627,4.0,0.16,1
E445,427593212,427593371,53.909,7.0,0.16,1
E446,427593212,427531053,44.113,4.0,0.16,1
E447,427593212,427593218,31.750999999999998,4.0,0.16,1
E448,427593213,427593357,90.822,7.0,0.16,1
E449,427593213,427593382,35.211,4.0,0.16,1
E450,427593213,427593217,35.495,4.0,0.16,1
E451,427593214,427593210,72.375,7.0,0.16,1
E452,427593214,427593356,107.085,7.0,0.16,1
E453,427593214,427593380,35.321,7.0,0.16,1
E454,427593214,427593381,34.265,7.0,0.16,1
E455,427593216,10063081050,18.995,4.0,0.16,1
E456,427593216,10063081047,66.526,7.0,0.16,1
E457,427593216,10063081053,37.495,4.0,0.16,1
E458,427593217,427593358,91.439,7.0,0.16,1
E459,427593217,427593213,35.495,4.0,0.16,1
E460,427593217,427593231,6.143,4.0,0.16,1
E461,427593218,427593372,53.274,7.0,0.16,1
E462,427593218,427593219,37.558,4.0,0.16,1
E463,427593218,427593212,31.750999999999998,4.0,0.16,1
E464,427593219,427593373,51.306,7.0,0.16,1
E465,427593219,427593218,37.558,4.0,0.16,1
E466,427593219,427593222,32.401,4.0,0.16,1
E467,427593220,426962404,93.186,7.0,0.16,1
E468,427593220,427593231,27.315,4.0,0.16,1
E469,427593220,427593174,28.171,4.0,0.16,1
E470,427593221,10008065414,92.562,7.0,0.16,1
E471,427593221,427593174,9.411,4.0,0.16,1
E472,427593221,427593224,35.841,4.0,0.16,1
E473,427593222,427593374,52.055,7.0,0.16,1
E474,427593222,10063059439,40.798,7.0,0.16,1
E475,427593222,427593219,32.401,4.0,0.16,1
E476,427593222,427593223,35.833,4.0,0.16,1
E477,427593223,427593375,51.234,7.0,0.16,1
E478,427593223,427593222,35.833,4.0,0.16,1
E479,427593223,456036823,21.411,4.0,0.16,1
E480,427593224,461754845,33.786,7.0,0.16,1
E481,427593224,427593221,35.841,4.0,0.16,1
E482,427593224,427593313,16.88,4.0,0.16,1
E483,427593225,461754845,38.891,7.0,0.16,1
E484,427593225,427593376,122.823,7.0,0.16,1
E485,427593225,461754872,48.615,7.0,0.16,1
E486,427593227,11394013174,3.273,7.0,0.16,1
E487,427593227,427593232,55.079,7.0,0.16,1
E488,427593227,427593174,46.672,7.0,0.16,1
E489,427593228,427593234,26.038,7.0,0.16,1
E490,427593228,427593229,29.759,7.0,0.16,1
E491,427593228,427593232,79.178,7.0,0.16,1
E492,427593229,427593228,29.759,7.0,0.16,1
E493,427593229,427593209,26.725,7.0,0.16,1
E494,427593229,427593230,134.509,7.0,0.16,1
E495,427593230,427593351,31.468,7.0,0.16,1
E496,427593230,11394013174,24.431,7.0,0.16,1
E497,427593230,427593229,134.509,7.0,0.16,1
E498,427593230,427593310,68.679,7.0,0.16,1
E499,427593231,427593233,22.662,7.0,0.16,1
E500,427593231,427593217,6.143,4.0,0.16,1
E501,427593231,427593220,27.315,4.0,0.16,1
E502,427593232,427593233,26.339,7.0,0.16,1
E503,427593232,427593227,55.079,7.0,0.16,1
E504,427593232,427593228,79.178,7.0,0.16,1
E505,427593233,427593232,26.339,7.0,0.16,1
E506,427593233,427593231,22.662,7.0,0.16,1
E507,427593233,427593234,77.694,7.0,0.16,1
E508,427593234,427593382,21.862,7.0,0.16,1
E509,427593234,427593228,26.038,7.0,0.16,1
E510,427593234,427593233,77.694,7.0,0.16,1
E511,427593235,427593209,30.519,7.0,0.16,1
E512,427593235,427593351,105.095,7.0,0.16,1
E513,427593235,652440651,27.41,7.0,0.16,1
E514,427593236,577450614,15.679,7.0,0.16,1
E515,427593236,1290203339,31.839,7.0,0.16,1
E516,427593236,427593350,110.528,7.0,0.16,1
E517,427593238,427593321,28.969,7.0,0.16,1
E518,427593238,427593349,36.417,7.0,0.16,1
E519,427593238,427593087,34.078,7.0,0.16,1
E520,427593239,427593349,113.745,7.0,0.16,1
E521,427593239,577450614,23.475,7.0,0.16,1
E522,427593239,427593087,108.93799999999999,7.0,0.16,1
E523,427593240,427593241,31.813,7.0,0.16,1
E524,427593240,427593348,66.494,7.0,0.16,1
E525,427593240,461539261,65.02,7.0,0.16,1
E526,427593241,652440619,11.531,7.0,0.16,1
E527,427593241,427593240,31.813,7.0,0.16,1
E528,427593241,652440655,26.793,7.0,0.16,1
E529,427593242,652440651,14.857,7.0,0.16,1
E530,427593242,1290203324,12.978,7.0,0.16,1
E531,427593242,10062944258,31.58,7.0,0.16,1
E532,427593243,427593353,35.711,7.0,0.16,1
E533,427593243,426962396,52.319,7.0,0.16,1
E534,427593243,4415661209,44.01,7.0,0.16,1
E535,427593243,427593244,53.204,7.0,0.16,1
E536,427593244,2631196063,37.742,7.0,0.16,1
E537,427593244,427593254,23.119,7.0,0.16,1
E538,427593244,427593243,53.20400000000001,7.0,0.16,1
E539,427593246,427593249,40.868,7.0,0.16,1
E540,427593246,427593247,116.853,7.0,0.16,1
E541,427593246,461539259,132.33599999999998,7.0,0.16,1
E542,427593246,1290203317,119.64099999999999,7.0,0.16,1
E543,427593247,427593248,103.268,7.0,0.16,1
